,text,sentiment,transformed_text
51,Governo brasileiro enviará equipes de resgate e ajuda a Moçambique,0,govern envi equip resgat ajud mocambiqu
52,Professores relataram agressão física ou verbal em escola de Suzano,0,profes relat agressa fisic verb escol suzan
53,Três vítimas do ataque na escola em Suzano recebem alta de hospitais,0,tre vit ataqu escol suzan receb alt hospit
54,Veja Saúde: Como o massacre de Suzano impacta a saúde mental,0,vej saud massacr suzan impact saud ment
55,"Sob aplausos, coordenadora de colégio é sepultada em Suzano",0,sob aplaus coorden colegi sepult suzan
56,3º suspeito de participar de ataque a escola em Suzano é ouvido pelo MP,0,3o suspeit particip ataqu escol suzan ouv mp
57,Os oito rostos da tragédia,0,oit rost traged
58,Brumadinho: MP diz que tragédia poderia ter sido evitada; mortes vão a 200,0,brum mp diz traged pod ter sid evit mort 200
59,Procon recomenda que Gol suspenda voos com Boeing envolvido em acidente,0,procon recomend gol suspend voo boeing envolv acid
60,"Membros da ONU, de ONGs e turistas estão entre vítimas de acidente",0,membr onu ong turist vit acid
61,Gol diz que vai continuar usando Boeing envolvido em acidente na Etiópia,0,gol diz continu us boeing envolv acid etiop
62,Caixas-pretas de avião que caiu na Etiópia são recuperadas,0,caix pret avia caiu etiop recuper
63,"Um mês após tragédia, apenas uma família aceitou proposta do Flamengo",0,me apo traged apen famil aceit propost flameng
64,MP apura se Vale trocou auditor para liberar barragem de Brumadinho,0,mp apur val troc audi liber barr brum
65,Conselho da Vale decide demitir presidente Fabio Schvartsman,0,conselh val decid demit presid fabi schvartsman
66,"Ciclo decadente da mineração vai gerar mais tragédias, indica estudo",0,cicl decad mineraca ger traged indic estud
67,Tragédia em Brumadinho completa um mês com 131 desaparecidos,0,traged brum complet me 131 desaparec
68,Exames detectam metais no sangue de 4 bombeiros em Brumadinho,0,exam detect metal sang 4 bomb brum
69,Vale informa medidas para conter rejeitos de barragem em Brumadinho,0,val inform med cont rejeit barr brum
70,Profissionais do resgate em Brumadinho terão saúde monitorada por 20 anos,0,profiss resgat brum saud monitor 20 ano
71,Brumadinho: Grávida hospedada em pousada perto da barragem é identificada,0,brum grav hosped pous pert barr identific
72,Sobe para 169 o número de mortos identificados em Brumadinho,0,sob 169 numer mort identific brum
73,Mais dois corpos localizados em Brumadinho,0,doi corp local brum
74,"Governo libera empréstimo de R$ 62 mi a Brumadinho, mas prefeito recusa",0,govern lib emprest r 62 mi brum prefeit recus
75,Incêndio no CT do Flamengo: A esperança que se foi,0,incendi ct flameng esperanc
76,Prisões aumentam pressão em área operacional da Vale em MG,0,priso aument pressa are operac val mg
77,A esperança que se foi,0,esperanc
78,A história está ainda pior,0,hist aind pi
79,"Fracassa nova tentativa de acordo entre Vale, MP e governo de MG",0,fracass nov tent acord val mp govern mg
80,"Vale não pode ser condenada ‘por um acidente’, diz presidente da empresa",0,"val pod ser conden acid ', diz presid empr"
81,Brumadinho: revisão dos Bombeiros pode reduzir o número de desaparecidos,0,brum revisa bomb pod reduz numer desaparec
82,Governo discute não liberar FGTS para vítimas de Brumadinho,0,govern discut liber fgt vit brum
83,Buscas em Brumadinho entram em fase ‘mais mecanizada’,0,busc brum entr fas mecan
84,Primeiras vítimas do incêndio no Ninho do Urubu são enterradas,0,prim vit incendi ninh urubu enterr
85,CEO do Flamengo cita ‘picos de energia’ e diz que incêndio foi ‘acidente’,0,ceo flameng cit pic energ diz incendi acid
86,Dois jovens feridos em incêndio no Ninho do Urubu estão fora de perigo,0,doi jov fer incendi ninh urubu perig
87,"Primo de Samuel, vítima do incêndio no Flamengo: ‘Ele só queria brincar’",0,prim samuel vit incendi flameng quer brinc
88,IML confirma identidade de quatro de 10 corpos de incêndio no Flamengo,0,iml confirm ident quatr 10 corp incendi flameng
89,"Em silêncio, diretoria do Flamengo se reúne após tragédia",0,silenci diret flameng reun apo traged
90,"Sem alvará de CT, prefeitura multou Flamengo 30 vezes e ordenou interdição",0,alv ct prefeit mult flameng 30 vez orden interdica
91,"‘Lamentável que durmam em um contêiner’, diz tio de jogador morto",0,"lamenta durm contein ', diz tio jog mort"
92,O que se sabe sobre o incêndio no CT do Flamengo,0,sab sobr incendi ct flameng
93,Vídeo feito por moradores mostra o momento do incêndio no CT do Flamengo,0,vide feit mor mostr moment incendi ct flameng
94,B3 exclui ações da Vale de índice de sustentabilidade por Brumadinho,0,b3 exclu aco val indic sustent brum
95,Nem Marianas nem Brumadinhos,0,mari brum
96,Leitor,0,leit
97,Não há mais,0,
98,Brincando com o perigo,0,brinc perig
99,"Brasil investiu menos em inspeção de barragens após Mariana, diz CNDH",0,invest menos inspeca barr apo mari diz cndh
100,Governo determina suspensão de operações em duas barragens da Vale em MG,0,govern determin suspensa operaco dua barr val mg
101,Cidade de MG decreta situação de emergência por lama no Rio Paraopeba,0,cidad mg decret situaca emergenc lam rio paraopeb
102,Número de mortes no desastre de Brumadinho sobe para 134,0,numer mort desastr brum sob 134
103,Presidente de entidade que reúne mineradoras renuncia ao cargo,0,presid entidad reun miner renunc carg
104,Chuva suspende buscas por vítimas em Brumadinho,0,chuv suspend busc vit brum
105,A foto mais bonita,0,fot bonit
106,A fuga na avalanche,0,fug avalanch
107,Barragem em Brumadinho rompeu três dias após inspeção da Vale,0,barr brum romp tre dia apo inspeca val
108,‘A vida em primeiro lugar’,0,vid prim lug
109,‘O Brasil pode contar conosco’,0,pod cont conosc
110,"‘Era uma casa linda, mas acabou’",0,cas lind acab
111,O medo de encontrar amigos,0,med encontr amig
112,Bombeiros fazem homenagem às vítimas da tragédia em Brumadinho,0,bomb faz homen vit traged brum
113,Vídeo mostra momento em que lama invade instalações da Vale,0,vide mostr moment lam invad instalaco val
114,Brumadinho é alerta para empresas não negligenciarem os riscos,0,brum alert empr negligenci risc
115,Documento da Vale alertava para risco a refeitório em caso de rompimento,0,document val alert risc refeitori cas romp
116,As histórias por trás de um resgate de helicóptero em Brumadinho,0,hist tra resgat helicopter brum
117,Quando aprenderemos?,0,aprend
118,Carta ao Leitor: O emblema da sirene,0,cart leit emblem siren
119,"Multa máxima de agência a mineradoras subirá de R$ 3,2 mil para R$ 3,4 mil",0,mult max agenc miner sub r 3 2 r 3 4
120,Rainha Elizabeth publica mensagem em apoio a vítimas de Brumadinho,0,rainh elizabeth publ mens apoi vit brum
121,Vale vai repassar R$ 80 milhões para Brumadinho ao longo de dois anos,0,val repass r 80 milho brum long doi ano
122,Vale contrata escritório de advocacia para investigar Brumadinho,0,val contrat escritori advocac investig brum
123,Rompimento de barragem destruiu o equivalente a 378 campos de futebol,0,romp barr destru equival 378 camp futebol
124,Recursos bloqueados da Vale superam os gastos após tragédia de Mariana,0,recurs bloque val sup gast apo traged mari
125,Vale monta estrutura para atender animais resgatados em Brumadinho,0,val mont estrut atend animal resgat brum
126,"Após quatro dias, militares de Israel deixam resgate em Brumadinho",0,apo quatr dia milit israel deix resgat brum
127,Vale começa a cadastrar parentes de vítimas para repasses de R$ 100 mil,0,val comec cadastr parent vit rep r 100
128,Rio em Brumadinho está contaminado com metais pesados; lama correu 100 km,0,rio brum contamin metal pes lam corr 100 km
129,Casal vítima da lama veio da Austrália para anunciar gravidez à família,0,casal vit lam vei austral anunci gravid famil
130,Bombeiros: Notícias falsas atrapalham buscas em Brumadinho,0,bomb notic fals atrapalh busc brum
131,Caso Sala: destroços de avião são encontrados em praia da França,0,cas sal destroc avia encontr prai franc
132,Sobe para 51 o número de vítimas identificadas em Brumadinho,0,sob 51 numer vit identific brum
133,1/4 das barragens de rejeitos de minério com alto risco são da Vale,0,1 4 barr rejeit mineri alt risc val
134,Bombeiros: Ainda não é a hora de encerrar buscas em Brumadinho,0,bomb aind hor encerr busc brum
135,País tem só 35 fiscais para monitorar 790 barragens de mineração,0,pal 35 fiscal monitor 790 barr mineraca
136,"Preso nesta terça, engenheiro foi premiado em gestão de risco de barragens",0,pres nest terc engenh premi gesta risc barr
137,Secretaria de MG emite alerta sobre riscos à saúde por contato com rejeito,0,secret mg emit alert sobr risc saud contat rejeit
138,Giro Veja: Corpos de vítimas são enterrados em Brumadinho,0,gir vej corp vit enterr brum
139,Rompimento de barragem deixa indígenas com baixa oferta de água potável,0,romp barr deix indigen baix ofert agu potavel
140,Número de desaparecidos após tragédia de Brumadinho sobe para 288,0,numer desaparec apo traged brum sob 288
141,"Desde Mariana, Vale acumula R$ 390,1 milhões em multas não pagas",0,desd mari val acumul r 390 1 milho mult pag
142,Onyx diz que ‘não há condição’ de governo intervir na Vale,0,onyx diz condica govern interv val
143,Juíza diz que prisão é imprescindível para investigação de rompimento,0,juiz diz prisa imprescindi investigaca romp
144,Doze corpos foram retirados de dois ônibus com trabalhadores da Vale,0,doz corp retir doi onibu trabalh val
145,Governo quer remoção de instalações com trabalhadores perto de barragens,0,govern qu remoca instalaco trabalh pert barr
146,Engenheiros e funcionários da Vale responsáveis por barragem são presos,0,engenh funcionari val responsa barr pres
147,Buscas seguem em Brumadinho após indícios de que refeitório foi localizado,0,busc segu brum apo indici refeitori local
148,Dona de pousada destruída pela lama em Brumadinho tem corpo identificado,0,don pous destru lam brum corp identific
149,"Brumadinho é o maior desastre com barragens da década, aponta OIT",0,brum mai desastr barr dec apont oit
150,Defesa Civil: doações para vítimas em Brumadinho não são mais necessárias,0,defês civil doaco vit brum necess
151,Incêndio da boate Kiss completa 6 anos sem julgamento de réus,0,incendi boat kis complet 6 ano julg reu
152,Avião com militares de Israel chega ao Brasil para colaborar em Brumadinho,0,avia milit israel cheg colabor brum
153,"Doações arrecadadas para Brumadinho são suficientes, diz Defesa Civil",0,doaco arrecad brum sufici diz defês civil
154,Número de mortos em Brumadinho sobe para 58,0,numer mort brum sob 58
155,O inconsequente bloqueio de recursos da Vale,0,inconsequ bloquei recurs val
156,Número de mortos em Brumadinho subiu para 37,0,numer mort brum sub 37
157,Israel posta imagens dos militares que ajudarão em Brumadinho,0,israel post imag milit ajudara brum
158,"Tragédia de Brumadinho não é acidente, afirma Procuradoria",0,traged brum acid afirm procurad
159,Justiça de Minas bloqueia outros 5 bilhões de reais da Vale,0,jus min bloque outr 5 bilho real val
160,Familiares de funcionários de Inhotim estão entre os desaparecidos,0,famili funcionari inhotim desaparec
161,O que se sabe até agora sobre o desastre em Brumadinho,0,sab agor sobr desastr brum
162,"Para coordenador de projeto em MG, nada mudou desde tragédia de Mariana",0,coorden projet mg nad mud desd traged mari
163,Barragem de Brumadinho era considerada de ‘baixo risco’ pelo governo,0,barr brum consider baix risc govern
164,"Três anos depois, Brumadinho repete cenas da tragédia ambiental de Mariana",0,tre ano brum repet cen traged ambient mari
165,Secretariado de Zema a caminho de Brumadinho,0,secretari zem caminh brum
166,Polícia encerra busca por avião que levava o atacante Emiliano Sala,0,polic encerr busc avia lev atac emili sal
167,"‘Me arrependo de ter comprado arma’, diz pai de vítima de tiro acidental",0,"arrep ter compr arm ', diz pai vit tir acident"
168,Tempestade tropical mata 22 e deixa 3 desaparecidos nas Filipinas,0,tempestad tropic mat 22 deix 3 desaparec filipin
169,Triste destino,0,trist destin
170,"Sob risco de segundo tsunami, Indonésia aumenta nível de alerta",0,sob risc segund tsunam indones aument nivel alert
171,Falha mecânica provocou queda de helicóptero que matou dono do Leicester,0,falh mecan provoc qued helicopter mat don leicest
172,Vídeos mostram queda de avião na Zona Norte de São Paulo,0,vide mostr qued avia zon nort paul
173,Queda de avião mata quatro pessoas no interior de MG,0,qued avia mat quatr pesso interi mg
174,Deslizamento em Niterói: bombeiros confirmam duas pessoas sob os escombros,0,desliz nitero bomb confirm dua pesso sob escombr
175,Deslizamento mata ao menos 15 pessoas em Niterói; buscas seguem,0,desliz mat menos 15 pesso nitero busc segu
176,Tragédia de Mariana faz três anos e vítimas ainda não têm casa própria,0,traged mari faz tre ano vit aind cas propr
177,Os sapatinhos coloridos,0,sapat color
178,Vídeo mostra pane e queda de helicóptero do dono do Leicester,0,vide mostr pan qued helicopter don leicest
179,"Jogadores do Leicester se despedem do dono do clube, morto em acidente",0,jog leicest desped don club mort acid
180,Trem atropela multidão na Índia e deixa pelo menos cinquenta mortos,0,tr atropel multida ind deix menos cinquent mort
181,"Samarco volta a operar em 2020, diz presidente da Vale",0,samarc volt oper 2020 diz presid val
182,Acidente com limusine deixa 20 mortos perto de Nova York,0,acid limusin deix 20 mort pert nov york
183,Centenas de vítimas ainda estão soterradas após catástrofes na Indonésia,0,centen vit aind soterr apo catastrof indones
184,"Mais de 135 mortos em naufrágio na Tanzânia, dizem autoridades",0,135 mort naufragi tanzan diz autoridad
185,Abertura de represa na Nigéria causa inundações e deixa 21 mortos,0,abert repr nig caus inundaco deix 21 mort
186,Polícia australiana encontra cinco corpos em casa de Perth,0,polic australi encontr cinc corp cas perth
187,FOTOS: Incêndio destrói Museu Nacional no Rio de Janeiro,0,fot incendi destro mus nacion rio jan
188,Represa se rompe e mais de 63 mil pessoas deixam suas casas em Mianmar,0,repr romp 63 pesso deix cas mianm
189,Porto Rico eleva de 64 para 2.975 número de mortes no furacão Maria,0,port ric elev 64 2 975 numer mort furaca mar
190,Projetista de ponte que desabou em Gênova alertou sobre riscos há 40 anos,0,projet pont desab genov alert sobr risc 40 ano
191,"Terremoto de 6,9 graus na Indonésia deixa pelo menos 2 mortos",0,terremot 6 9 grau indones deix menos 2 mort
192,Itália vai revogar concessão de empresa responsável por ponte que desabou,0,ital revog concessa empr responsa pont desab
193,Tragédia em Gênova: Caindo do alto de quinze andares,0,traged genov caind alt quinz and
194,Parentes de vítimas da tragédia de Gênova recusam cerimônia oficial,0,parent vit traged genov recus cerimon ofic
195,Caindo do alto de quinze andares,0,caind alt quinz and
196,Equipes de resgate seguem buscando desaparecidos em escombros de ponte,0,equip resgat segu busc desaparec escombr pont
197,Itália decreta estado de emergência em Gênova após desabamento de ponte,0,ital decret est emergenc genov apo desab pont
198,Número de mortos em desabamento de ponte na Itália sobe para 39,0,numer mort desab pont ital sob 39
199,Vídeos e fotos mostram desabamento de viaduto em Gênova,0,vide fot mostr desab viadut genov
200,Ponte desaba em Gênova e deixa ao menos 35 mortos,0,pont desab genov deix menos 35 mort
201,Vídeo mostra crianças brincando antes de bombardeio no Iêmen,0,vide mostr crianc brinc ant bombardei iemen
202,Número de mortos em terremoto na Indonésia sobe para 436,0,numer mort terremot indones sob 436
203,Desabamento em festival deixa mais de 300 feridos na Espanha,0,desab festiv deix 300 fer espanh
204,Ataque a ônibus com crianças deixa dezenas de mortos no Iêmen,0,ataqu onibu crianc deix dezen mort iemen
205,Segundo terremoto deixa 91 mortos na Indonésia,0,segund terremot deix 91 mort indones
206,Explosão perto do aeroporto de Bolonha deixa três mortos e 67 feridos,0,explosa pert aeroport bolonh deix tre mort 67 fer
207,"‘Esqueletão’ pode desabar no centro de Porto Alegre, diz promotoria",0,esqueleta pod desab centr port alegr diz promot
208,Alpinistas presos após terremoto na Indonésia são resgatados,0,alpin pres apo terremot indones resgat
209,FOTOS: Incêndios florestais devastam o norte da Califórnia,0,fot incendi florest devast nort californ
210,Mais de 500 ficam presos em área de vulcão após terremoto na Indonésia,0,500 fic pres are vulca apo terremot indones
211,Número oficial de mortos por incêndios na Grécia chega a 91,0,numer ofic mort incendi grec cheg 91
212,Incêndio na Califórnia já causou cinco mortes após sete dias,0,incendi californ caus cinc mort apo set dia
213,Laos retira 10.000 pessoas afetadas por rompimento de represa,0,lao ret 10 000 pesso afet romp repr
214,Operador de escavadeira dos bombeiros morre em incêndios na Califórnia,0,oper escav bomb morr incendi californ
215,Nem o mar salvou,0,mar salv
216,Brasileira e filha morrem após cair do 21º andar de prédio no Uruguai,0,filh morr apo cair 21o and predi urugu
217,Gregos usam TV e rádio para localizar desaparecidos após incêndios,0,greg us tv radi local desaparec apo incendi
218,Número de mortos em incêndios florestais na Grécia sobe para 79,0,numer mort incendi florest grec sob 79
219,Rompimento de represa faz 6.000 pessoas perderem suas casas no Laos,0,romp repr faz 6 000 pesso perd cas lao
220,Incêndio florestal deixa mais de setenta mortos na Grécia,0,incendi florest deix setent mort grec
221,Sobe para 135 o número de mortos por erupção de vulcão na Guatemala,0,sob 135 numer mort erupca vulca guatemal
222,Nove vítimas de naufrágio de barco turístico nos EUA eram da mesma família,0,nov vit naufragi barc turis eua mesm famil
223,Acidente com barco turístico nos EUA deixa 17 mortos,0,acid barc turis eua deix 17 mort
224,Adolescente é resgatado depois de 9 dias preso dentro de mina na Bolívia,0,adolesc resgat 9 dia pres dentr min boliv
225,"‘Tentava encher o estômago com água’, diz jovem tailandês resgatado",0,"tent ench estomag agu ', diz jov tailand resgat"
226,Iceberg se aproxima de aldeia na Groenlândia e deixa população em alerta,0,iceberg aprox alde groenland deix populaca alert
227,"Internados, garotos fazem sinais com as mãos para dizer que estão bem",0,intern garot faz sinal mao diz bem
228,Vídeos mostram resgate e os meninos tailandeses no hospital,0,vide mostr resgat menin tailandes hospit
229,Quais são os impactos psicológicos de passar quase 20 dias em uma caverna?,0,qual impact psicolog pass quas 20 dia cavern
230,Número de mortos por fortes chuvas no Japão chega a 155,0,numer mort fort chuv japa cheg 155
231,Todos os doze meninos e o treinador estão fora da caverna na Tailândia,0,tod doz menin trein cavern tailand
232,Tailândia: garotos resgatados hoje estão mais saudáveis do que os de ontem,0,tailand garot resgat hoj sauda ont
233,Sobe para 103 número de mortos por causa de chuvas torrenciais no Japão,0,sob 103 numer mort caus chuv torrenc japa
234,"Tailândia: menino resgatado em estado grave está melhor, diz jornal",0,tailand menin resgat est grav melhor diz jorn
235,Tailândia: chega a oito o número de meninos resgatados de caverna,0,tailand cheg oit numer menin resgat cavern
236,Resgate de jovens de caverna é retomado na Tailândia,0,resgat jov cavern retom tailand
237,Descarrilamento de trem na Turquia mata 10 e deixa mais de 70 feridos,0,descarril tr turqu mat 10 deix 70 fer
238,Chuvas torrenciais matam 112 pessoas no Japão,0,chuv torrenc mat 112 pesso japa
239,Resgate de meninos em caverna da Tailândia será retomado nesta 2ª,0,resgat menin cavern tailand retom nest 2a
240,Saída de time tailandês de caverna por mergulho ‘não é aconselhável’,0,said tim tailand cavern mergulh aconselha
241,Elon Musk oferece ajuda para resgatar meninos em caverna na Tailândia,0,elon musk oferec ajud resgat menin cavern tailand
242,Quem são os integrantes do time de futebol preso na caverna da Tailândia?,0,integr tim futebol pres cavern tailand
243,Morte de mergulhador expõe riscos de resgate em caverna na Tailândia,0,mort mergulh expo risc resgat cavern tailand
244,Adolescentes presos em caverna na Tailândia se comunicam com familiares,0,adolesc pres cavern tailand comunic famili
245,Dois meninos e técnico de time tailandês sofrem de exaustão,0,doi menin tecn tim tailand sofr exausta
246,Inundações diminuem e esperança de resgate de meninos na Tailândia aumenta,0,inundaco diminu esperanc resgat menin tailand aument
247,Por que é tão difícil resgatar os jovens presos na caverna da Tailândia?,0,tao dificil resgat jov pres cavern tailand
248,Parentes de tripulação de submarino se acorrentam na Casa Rosada,0,parent tripulaca submarin acorrent cas ros
249,Ônibus conduzido por menor cai em barranco e deixa 9 mortos na Guatemala,0,onibu conduz men cai barranc deix 9 mort guatemal
250,Cubana sobrevivente de acidente aéreo em Havana apresenta melhora,0,cuban sobreviv acid aere havan apresent melhor
251,Novo acordo encerra ação de R$ 20 bilhões por tragédia de Mariana,0,nov acord encerr aca r 20 bilho traged mari
252,Avião cai em Cuba e deixa mais de cem mortos,0,avia cai cub deix cem mort
253,Homem de 56 anos é a segunda vítima identificada de desabamento de prédio,0,hom 56 ano segund vit identific desab predi
254,Panorama da tragédia,0,panoram traged
255,Ex-BBBs pedem doação a desabrigados de prédio que desabou em SP,0,ex bbb ped doaca desabrig predi desab sp
256,Presidente non grato,0,presid non grat
257,A moral desmoronada,0,moral desmoron
258,Vidas ao léu,0,vid leu
259,Chapecoense: relatório final diz que falta de combustível causou acidente,0,chapeco relatori final diz falt combusti caus acid
260,Avião cai com turcas após despedida de solteira em Dubai,0,avia cai turc apo desped solt dub
261,TJ mantém decisão: réus da Boate Kiss não vão a júri popular,0,tj mant decisa reu boat kis jur popul
262,Destroços de avião iraniano são encontrados em região montanhosa,0,destroc avia irani encontr regia montanh
263,Erro em dado de velocidade pode ter causado queda de avião russo,0,err dad veloc pod ter caus qued avia russ
264,Avião que caiu na Rússia tinha passado por revisão há um mês,0,avia caiu russ pass revisa me
265,Santa Maria homenageia os mortos da Boate Kiss,0,sant mar homenage mort boat kis
266,As marcas da impunidade,0,marc impun
267,Tragédia da boate Kiss: 5 anos de impunidade,0,traged boat kis 5 ano impun
268,Sobe para 13 o número de mortos no acidente em rodovia de Minas,0,sob 13 numer mort acid rodov min
269,Jogador da Chapecoense se casa um ano após queda de avião,0,jog chapeco cas ano apo qued avia
270,Morre mais uma vítima do incêndio na creche de Janaúba,0,morr vit incendi crech janaub
271,Nação em negação,0,naca negaca
272,1 ano do acidente da Chapecoense: a tragédia virou drama,0,1 ano acid chapeco traged vir dram
273,Samarco discute demissão de 600 funcionários,0,samarc discut demissa 600 funcionari
274,Dois anos da tragédia de Mariana: “Não foi acidente. Foi crime”,0,doi ano traged mari acid crim
275,Juiz mantém escutas e retoma ação penal em caso Samarco,0,juiz mant escut retom aca penal cas samarc
276,Empresa tenta extrair ouro em região da tragédia de Mariana,0,empr tent extra our regia traged mari
277,Carta ao Leitor: Os erros e a tragédia,0,cart leit err traged
278,Mariana: dois anos da maior tragédia ambiental do Brasil,0,mari doi ano mai traged ambient
279,Explosão em fábrica de fogos deixa 47 mortos na Indonésia,0,explosa fabr fog deix 47 mort indones
280,"Goiânia, 2017: precisamos falar sobre bullying",0,goian 2017 precis fal sobr bullying
281,Sobe para sete o número de crianças mortas em tragédia de MG,0,sob set numer crianc mort traged mg
282,Namorada de atirador de Las Vegas nega conhecimento de ataque,0,namor atir la veg neg conhec ataqu
283,Las Vegas: fotos mostram interior do quarto de hotel após ataque,0,la veg fot mostr interi quart hotel apo ataqu
284,iPhone pode ter salvo vida de mulher em ataque de Las Vegas,0,iphon pod ter salv vid mulh ataqu la veg
285,Polícia já identificou 56 vítimas do ataque em Las Vegas,0,polic identific 56 vit ataqu la veg
286,Las Vegas: 19 armas e explosivos encontrados na casa do atirador,0,la veg 19 arm explos encontr cas atir
287,Route 91 Harvest: o festival country transformado em tragédia,0,rout 91 harvest festiv country transform traged
288,Cidades de Porto Rico continuam isoladas após furacão Maria,0,cidad port ric continu isol apo furaca mar
289,Chega a 293 o número de mortos em terremoto no México,0,cheg 293 numer mort terremot mexic
290,Terremoto no México: A dor de perto,0,terremot mexic dor pert
291,Imagem da semana: A dor de perto,0,imag seman dor pert
292,Produtores de filme de Tom Cruise processam empresa por acidente,0,produt film tom cruis process empr acid
